dteday,season,yr,mnth,casual,registered,cnt,holiday,weekday
2011-01-01,spring,2011,1,331,654,985,0,6
2011-01-02,spring,2011,1,131,670,801,0,0
2011-01-03,spring,2011,1,120,1229,1349,0,1
2011-01-04,spring,2011,1,108,1454,1562,0,2
2011-01-05,spring,2011,1,82,1518,1600,0,3
2011-01-06,spring,2011,1,88,1518,1606,0,4
2011-01-07,spring,2011,1,148,1362,1510,0,5
2011-01-08,spring,2011,1,68,891,959,0,6
2011-01-09,spring,2011,1,54,768,822,0,0
2011-01-10,spring,2011,1,41,1280,1321,0,1
2011-01-11,spring,2011,1,43,1220,1263,0,2
2011-01-12,spring,2011,1,25,1137,1162,0,3
2011-01-13,spring,2011,1,38,1368,1406,0,4
2011-01-14,spring,2011,1,54,1367,1421,0,5
2011-01-15,spring,2011,1,222,1026,1248,0,6
2011-01-16,spring,2011,1,251,953,1204,0,0
2011-01-18,spring,2011,1,9,674,683,0,2
2011-01-19,spring,2011,1,78,1572,1650,0,3
2011-01-20,spring,2011,1,83,1844,1927,0,4
2011-01-21,spring,2011,1,75,1468,1543,0,5
2011-01-22,spring,2011,1,93,888,981,0,6
2011-01-23,spring,2011,1,150,836,986,0,0
2011-01-24,spring,2011,1,86,1330,1416,0,1
2011-01-25,spring,2011,1,186,1799,1985,0,2
2011-01-26,spring,2011,1,34,472,506,0,3
2011-01-27,spring,2011,1,15,416,431,0,4
2011-01-28,spring,2011,1,38,1129,1167,0,5
2011-01-29,spring,2011,1,123,975,1098,0,6
2011-01-30,spring,2011,1,140,956,1096,0,0
2011-01-31,spring,2011,1,42,1459,1501,0,1
2011-02-01,spring,2011,2,47,1313,1360,0,2
2011-02-02,spring,2011,2,72,1454,1526,0,3
2011-02-03,spring,2011,2,61,1489,1550,0,4
2011-02-04,spring,2011,2,88,1620,1708,0,5
2011-02-05,spring,2011,2,100,905,1005,0,6
2011-02-06,spring,2011,2,354,1269,1623,0,0
2011-02-07,spring,2011,2,120,1592,1712,0,1
2011-02-08,spring,2011,2,64,1466,1530,0,2
2011-02-09,spring,2011,2,53,1552,1605,0,3
2011-02-10,spring,2011,2,47,1491,1538,0,4
2011-02-11,spring,2011,2,149,1597,1746,0,5
2011-02-12,spring,2011,2,288,1184,1472,0,6
2011-02-13,spring,2011,2,397,1192,1589,0,0
2011-02-14,spring,2011,2,208,1705,1913,0,1
2011-02-15,spring,2011,2,140,1675,1815,0,2
2011-02-16,spring,2011,2,218,1897,2115,0,3
2011-02-17,spring,2011,2,259,2216,2475,0,4
2011-02-18,spring,2011,2,579,2348,2927,0,5
2011-02-19,spring,2011,2,532,1103,1635,0,6
2011-02-20,spring,2011,2,639,1173,1812,0,0
2011-02-22,spring,2011,2,74,1376,1450,0,2
2011-02-23,spring,2011,2,139,1778,1917,0,3
2011-02-24,spring,2011,2,100,1707,1807,0,4
2011-02-25,spring,2011,2,120,1341,1461,0,5
2011-02-26,spring,2011,2,424,1545,1969,0,6
2011-02-27,spring,2011,2,694,1708,2402,0,0
2011-02-28,spring,2011,2,81,1365,1446,0,1
2011-03-01,spring,2011,3,137,1714,1851,0,2
2011-03-02,spring,2011,3,231,1903,2134,0,3
2011-03-03,spring,2011,3,123,1562,1685,0,4
2011-03-04,spring,2011,3,214,1730,1944,0,5
2011-03-05,spring,2011,3,640,1437,2077,0,6
2011-03-06,spring,2011,3,114,491,605,0,0
2011-03-07,spring,2011,3,244,1628,1872,0,1
2011-03-08,spring,2011,3,316,1817,2133,0,2
2011-03-09,spring,2011,3,191,1700,1891,0,3
2011-03-10,spring,2011,3,46,577,623,0,4
2011-03-11,spring,2011,3,247,1730,1977,0,5
2011-03-12,spring,2011,3,724,1408,2132,0,6
2011-03-13,spring,2011,3,982,1435,2417,0,0
2011-03-14,spring,2011,3,359,1687,2046,0,1
2011-03-15,spring,2011,3,289,1767,2056,0,2
2011-03-16,spring,2011,3,321,1871,2192,0,3
2011-03-17,spring,2011,3,424,2320,2744,0,4
2011-03-18,spring,2011,3,884,2355,3239,0,5
2011-03-19,spring,2011,3,1424,1693,3117,0,6
2011-03-20,spring,2011,3,1047,1424,2471,0,0
2011-03-21,summer,2011,3,401,1676,2077,0,1
2011-03-22,summer,2011,3,460,2243,2703,0,2
2011-03-23,summer,2011,3,203,1918,2121,0,3
2011-03-24,summer,2011,3,166,1699,1865,0,4
2011-03-25,summer,2011,3,300,1910,2210,0,5
2011-03-26,summer,2011,3,981,1515,2496,0,6
2011-03-27,summer,2011,3,472,1221,1693,0,0
2011-03-28,summer,2011,3,222,1806,2028,0,1
2011-03-29,summer,2011,3,317,2108,2425,0,2
2011-03-30,summer,2011,3,168,1368,1536,0,3
2011-03-31,summer,2011,3,179,1506,1685,0,4
2011-04-01,summer,2011,4,307,1920,2227,0,5
2011-04-02,summer,2011,4,898,1354,2252,0,6
2011-04-03,summer,2011,4,1651,1598,3249,0,0
2011-04-04,summer,2011,4,734,2381,3115,0,1
2011-04-05,summer,2011,4,167,1628,1795,0,2
2011-04-06,summer,2011,4,413,2395,2808,0,3
2011-04-07,summer,2011,4,571,2570,3141,0,4
2011-04-08,summer,2011,4,172,1299,1471,0,5
2011-04-09,summer,2011,4,879,1576,2455,0,6
2011-04-10,summer,2011,4,1188,1707,2895,0,0
2011-04-11,summer,2011,4,855,2493,3348,0,1
2011-04-12,summer,2011,4,257,1777,2034,0,2
2011-04-13,summer,2011,4,209,1953,2162,0,3
2011-04-14,summer,2011,4,529,2738,3267,0,4
2011-04-16,summer,2011,4,121,674,795,0,6
2011-04-17,summer,2011,4,1558,2186,3744,0,0
2011-04-18,summer,2011,4,669,2760,3429,0,1
2011-04-19,summer,2011,4,409,2795,3204,0,2
2011-04-20,summer,2011,4,613,3331,3944,0,3
2011-04-21,summer,2011,4,745,3444,4189,0,4
2011-04-22,summer,2011,4,177,1506,1683,0,5
2011-04-23,summer,2011,4,1462,2574,4036,0,6
2011-04-24,summer,2011,4,1710,2481,4191,0,0
2011-04-25,summer,2011,4,773,3300,4073,0,1
2011-04-26,summer,2011,4,678,3722,4400,0,2
2011-04-27,summer,2011,4,547,3325,3872,0,3
2011-04-28,summer,2011,4,569,3489,4058,0,4
2011-04-29,summer,2011,4,878,3717,4595,0,5
2011-04-30,summer,2011,4,1965,3347,5312,0,6
2011-05-01,summer,2011,5,1138,2213,3351,0,0
2011-05-02,summer,2011,5,847,3554,4401,0,1
2011-05-03,summer,2011,5,603,3848,4451,0,2
2011-05-04,summer,2011,5,255,2378,2633,0,3
2011-05-05,summer,2011,5,614,3819,4433,0,4
2011-05-06,summer,2011,5,894,3714,4608,0,5
2011-05-07,summer,2011,5,1612,3102,4714,0,6
2011-05-08,summer,2011,5,1401,2932,4333,0,0
2011-05-09,summer,2011,5,664,3698,4362,0,1
2011-05-10,summer,2011,5,694,4109,4803,0,2
2011-05-11,summer,2011,5,550,3632,4182,0,3
2011-05-12,summer,2011,5,695,4169,4864,0,4
2011-05-13,summer,2011,5,692,3413,4105,0,5
2011-05-14,summer,2011,5,902,2507,3409,0,6
2011-05-15,summer,2011,5,1582,2971,4553,0,0
2011-05-16,summer,2011,5,773,3185,3958,0,1
2011-05-17,summer,2011,5,678,3445,4123,0,2
2011-05-18,summer,2011,5,536,3319,3855,0,3
2011-05-19,summer,2011,5,735,3840,4575,0,4
2011-05-20,summer,2011,5,909,4008,4917,0,5
2011-05-21,summer,2011,5,2258,3547,5805,0,6
2011-05-22,summer,2011,5,1576,3084,4660,0,0
2011-05-23,summer,2011,5,836,3438,4274,0,1
2011-05-24,summer,2011,5,659,3833,4492,0,2
2011-05-25,summer,2011,5,740,4238,4978,0,3
2011-05-26,summer,2011,5,758,3919,4677,0,4
2011-05-27,summer,2011,5,871,3808,4679,0,5
2011-05-28,summer,2011,5,2001,2757,4758,0,6
2011-05-31,summer,2011,5,673,3309,3982,0,2
2011-06-01,summer,2011,6,513,3461,3974,0,3
2011-06-02,summer,2011,6,736,4232,4968,0,4
2011-06-03,summer,2011,6,898,4414,5312,0,5
2011-06-04,summer,2011,6,1869,3473,5342,0,6
2011-06-05,summer,2011,6,1685,3221,4906,0,0
2011-06-06,summer,2011,6,673,3875,4548,0,1
2011-06-07,summer,2011,6,763,4070,4833,0,2
2011-06-08,summer,2011,6,676,3725,4401,0,3
2011-06-09,summer,2011,6,563,3352,3915,0,4
2011-06-10,summer,2011,6,815,3771,4586,0,5
2011-06-11,summer,2011,6,1729,3237,4966,0,6
2011-06-12,summer,2011,6,1467,2993,4460,0,0
2011-06-13,summer,2011,6,863,4157,5020,0,1
2011-06-14,summer,2011,6,727,4164,4891,0,2
2011-06-15,summer,2011,6,769,4411,5180,0,3
2011-06-16,summer,2011,6,545,3222,3767,0,4
2011-06-17,summer,2011,6,863,3981,4844,0,5
2011-06-18,summer,2011,6,1807,3312,5119,0,6
2011-06-19,summer,2011,6,1639,3105,4744,0,0
2011-06-20,summer,2011,6,699,3311,4010,0,1
2011-06-21,fall,2011,6,774,4061,4835,0,2
2011-06-22,fall,2011,6,661,3846,4507,0,3
2011-06-23,fall,2011,6,746,4044,4790,0,4
2011-06-24,fall,2011,6,969,4022,4991,0,5
2011-06-25,fall,2011,6,1782,3420,5202,0,6
2011-06-26,fall,2011,6,1920,3385,5305,0,0
2011-06-27,fall,2011,6,854,3854,4708,0,1
2011-06-28,fall,2011,6,732,3916,4648,0,2
2011-06-29,fall,2011,6,848,4377,5225,0,3
2011-06-30,fall,2011,6,1027,4488,5515,0,4
2011-07-01,fall,2011,7,1246,4116,5362,0,5
2011-07-02,fall,2011,7,2204,2915,5119,0,6
2011-07-05,fall,2011,7,1031,3634,4665,0,2
2011-07-06,fall,2011,7,784,3845,4629,0,3
2011-07-07,fall,2011,7,754,3838,4592,0,4
2011-07-08,fall,2011,7,692,3348,4040,0,5
2011-07-09,fall,2011,7,1988,3348,5336,0,6
2011-07-10,fall,2011,7,1743,3138,4881,0,0
2011-07-11,fall,2011,7,723,3363,4086,0,1
2011-07-12,fall,2011,7,662,3596,4258,0,2
2011-07-13,fall,2011,7,748,3594,4342,0,3
2011-07-14,fall,2011,7,888,4196,5084,0,4
2011-07-15,fall,2011,7,1318,4220,5538,0,5
2011-07-17,fall,2011,7,2006,3296,5302,0,0
2011-07-18,fall,2011,7,841,3617,4458,0,1
2011-07-19,fall,2011,7,752,3789,4541,0,2
2011-07-20,fall,2011,7,644,3688,4332,0,3
2011-07-21,fall,2011,7,632,3152,3784,0,4
2011-07-22,fall,2011,7,562,2825,3387,0,5
2011-07-23,fall,2011,7,987,2298,3285,0,6
2011-07-24,fall,2011,7,1050,2556,3606,0,0
2011-07-25,fall,2011,7,568,3272,3840,0,1
2011-07-26,fall,2011,7,750,3840,4590,0,2
2011-07-27,fall,2011,7,755,3901,4656,0,3
2011-07-28,fall,2011,7,606,3784,4390,0,4
2011-07-29,fall,2011,7,670,3176,3846,0,5
2011-07-30,fall,2011,7,1559,2916,4475,0,6
2011-07-31,fall,2011,7,1524,2778,4302,0,0
2011-08-01,fall,2011,8,729,3537,4266,0,1
2011-08-02,fall,2011,8,801,4044,4845,0,2
2011-08-03,fall,2011,8,467,3107,3574,0,3
2011-08-04,fall,2011,8,799,3777,4576,0,4
2011-08-05,fall,2011,8,1023,3843,4866,0,5
2011-08-06,fall,2011,8,1521,2773,4294,0,6
2011-08-07,fall,2011,8,1298,2487,3785,0,0
2011-08-08,fall,2011,8,846,3480,4326,0,1
2011-08-09,fall,2011,8,907,3695,4602,0,2
2011-08-10,fall,2011,8,884,3896,4780,0,3
2011-08-11,fall,2011,8,812,3980,4792,0,4
2011-08-12,fall,2011,8,1051,3854,4905,0,5
2011-08-13,fall,2011,8,1504,2646,4150,0,6
2011-08-14,fall,2011,8,1338,2482,3820,0,0
2011-08-15,fall,2011,8,775,3563,4338,0,1
2011-08-16,fall,2011,8,721,4004,4725,0,2
2011-08-17,fall,2011,8,668,4026,4694,0,3
2011-08-18,fall,2011,8,639,3166,3805,0,4
2011-08-19,fall,2011,8,797,3356,4153,0,5
2011-08-20,fall,2011,8,1914,3277,5191,0,6
2011-08-21,fall,2011,8,1249,2624,3873,0,0
2011-08-22,fall,2011,8,833,3925,4758,0,1
2011-08-23,fall,2011,8,1281,4614,5895,0,2
2011-08-24,fall,2011,8,949,4181,5130,0,3
2011-08-25,fall,2011,8,435,3107,3542,0,4
2011-08-26,fall,2011,8,768,3893,4661,0,5
2011-08-27,fall,2011,8,226,889,1115,0,6
2011-08-28,fall,2011,8,1415,2919,4334,0,0
2011-08-29,fall,2011,8,729,3905,4634,0,1
2011-08-30,fall,2011,8,775,4429,5204,0,2
2011-08-31,fall,2011,8,688,4370,5058,0,3
2011-09-01,fall,2011,9,783,4332,5115,0,4
2011-09-02,fall,2011,9,875,3852,4727,0,5
2011-09-03,fall,2011,9,1935,2549,4484,0,6
2011-09-06,fall,2011,9,204,2506,2710,0,2
2011-09-07,fall,2011,9,118,1878,1996,0,3
2011-09-08,fall,2011,9,153,1689,1842,0,4
2011-09-09,fall,2011,9,417,3127,3544,0,5
2011-09-10,fall,2011,9,1750,3595,5345,0,6
2011-09-11,fall,2011,9,1633,3413,5046,0,0
2011-09-12,fall,2011,9,690,4023,4713,0,1
2011-09-13,fall,2011,9,701,4062,4763,0,2
2011-09-14,fall,2011,9,647,4138,4785,0,3
2011-09-15,fall,2011,9,428,3231,3659,0,4
2011-09-16,fall,2011,9,742,4018,4760,0,5
2011-09-17,fall,2011,9,1434,3077,4511,0,6
2011-09-18,fall,2011,9,1353,2921,4274,0,0
2011-09-19,fall,2011,9,691,3848,4539,0,1
2011-09-20,fall,2011,9,438,3203,3641,0,2
2011-09-21,fall,2011,9,539,3813,4352,0,3
2011-09-22,fall,2011,9,555,4240,4795,0,4
2011-09-23,winter,2011,9,258,2137,2395,0,5
2011-09-24,winter,2011,9,1776,3647,5423,0,6
2011-09-25,winter,2011,9,1544,3466,5010,0,0
2011-09-26,winter,2011,9,684,3946,4630,0,1
2011-09-27,winter,2011,9,477,3643,4120,0,2
2011-09-28,winter,2011,9,480,3427,3907,0,3
2011-09-29,winter,2011,9,653,4186,4839,0,4
2011-09-30,winter,2011,9,830,4372,5202,0,5
2011-10-01,winter,2011,10,480,1949,2429,0,6
2011-10-02,winter,2011,10,616,2302,2918,0,0
2011-10-03,winter,2011,10,330,3240,3570,0,1
2011-10-04,winter,2011,10,486,3970,4456,0,2
2011-10-05,winter,2011,10,559,4267,4826,0,3
2011-10-06,winter,2011,10,639,4126,4765,0,4
2011-10-07,winter,2011,10,949,4036,4985,0,5
2011-10-08,winter,2011,10,2235,3174,5409,0,6
2011-10-11,winter,2011,10,667,3896,4563,0,2
2011-10-12,winter,2011,10,217,2199,2416,0,3
2011-10-13,winter,2011,10,290,2623,2913,0,4
2011-10-14,winter,2011,10,529,3115,3644,0,5
2011-10-15,winter,2011,10,1899,3318,5217,0,6
2011-10-16,winter,2011,10,1748,3293,5041,0,0
2011-10-17,winter,2011,10,713,3857,4570,0,1
2011-10-18,winter,2011,10,637,4111,4748,0,2
2011-10-19,winter,2011,10,254,2170,2424,0,3
2011-10-20,winter,2011,10,471,3724,4195,0,4
2011-10-21,winter,2011,10,676,3628,4304,0,5
2011-10-22,winter,2011,10,1499,2809,4308,0,6
2011-10-23,winter,2011,10,1619,2762,4381,0,0
2011-10-24,winter,2011,10,699,3488,4187,0,1
2011-10-25,winter,2011,10,695,3992,4687,0,2
2011-10-26,winter,2011,10,404,3490,3894,0,3
2011-10-27,winter,2011,10,240,2419,2659,0,4
2011-10-28,winter,2011,10,456,3291,3747,0,5
2011-10-29,winter,2011,10,57,570,627,0,6
2011-10-30,winter,2011,10,885,2446,3331,0,0
2011-10-31,winter,2011,10,362,3307,3669,0,1
2011-11-01,winter,2011,11,410,3658,4068,0,2
2011-11-02,winter,2011,11,370,3816,4186,0,3
2011-11-03,winter,2011,11,318,3656,3974,0,4
2011-11-04,winter,2011,11,470,3576,4046,0,5
2011-11-05,winter,2011,11,1156,2770,3926,0,6
2011-11-06,winter,2011,11,952,2697,3649,0,0
2011-11-07,winter,2011,11,373,3662,4035,0,1
2011-11-08,winter,2011,11,376,3829,4205,0,2
2011-11-09,winter,2011,11,305,3804,4109,0,3
2011-11-10,winter,2011,11,190,2743,2933,0,4
2011-11-12,winter,2011,11,1275,2792,4067,0,6
2011-11-13,winter,2011,11,1004,2713,3717,0,0
2011-11-14,winter,2011,11,595,3891,4486,0,1
2011-11-15,winter,2011,11,449,3746,4195,0,2
2011-11-16,winter,2011,11,145,1672,1817,0,3
2011-11-17,winter,2011,11,139,2914,3053,0,4
2011-11-18,winter,2011,11,245,3147,3392,0,5
2011-11-19,winter,2011,11,943,2720,3663,0,6
2011-11-20,winter,2011,11,787,2733,3520,0,0
2011-11-21,winter,2011,11,220,2545,2765,0,1
2011-11-22,winter,2011,11,69,1538,1607,0,2
2011-11-23,winter,2011,11,112,2454,2566,0,3
2011-11-25,winter,2011,11,1095,1697,2792,0,5
2011-11-26,winter,2011,11,1249,1819,3068,0,6
2011-11-27,winter,2011,11,810,2261,3071,0,0
2011-11-28,winter,2011,11,253,3614,3867,0,1
2011-11-29,winter,2011,11,96,2818,2914,0,2
2011-11-30,winter,2011,11,188,3425,3613,0,3
2011-12-01,winter,2011,12,182,3545,3727,0,4
2011-12-02,winter,2011,12,268,3672,3940,0,5
2011-12-03,winter,2011,12,706,2908,3614,0,6
2011-12-04,winter,2011,12,634,2851,3485,0,0
2011-12-05,winter,2011,12,233,3578,3811,0,1
2011-12-06,winter,2011,12,126,2468,2594,0,2
2011-12-07,winter,2011,12,50,655,705,0,3
2011-12-08,winter,2011,12,150,3172,3322,0,4
2011-12-09,winter,2011,12,261,3359,3620,0,5
2011-12-10,winter,2011,12,502,2688,3190,0,6
2011-12-11,winter,2011,12,377,2366,2743,0,0
2011-12-12,winter,2011,12,143,3167,3310,0,1
2011-12-13,winter,2011,12,155,3368,3523,0,2
2011-12-14,winter,2011,12,178,3562,3740,0,3
2011-12-15,winter,2011,12,181,3528,3709,0,4
